Id,Sequence
109,"1,8,2,12,4,10,6,16,3,18,7,14,5,24,13,20,9,22,11,30,17,28,19,26,15,34,25,36,23,38,21,32,33,42,27,46,29,44,31,40,41,52,35,48,39,54,37,50,45,60,49,58,43,62,47,56,57,68,53,70,51,64,55,66,63,76,65,78,59,74,61,72"
110,"1,1,1,1,3,13,35,157,741,4435,44453,490313,6256041,104651895,2130039209,56493398929,1931237117101,81069750246845,4246906418006015,279802247495802441"
111,"1,3,9,36,181,1086,7607,60862,547759,5477598,60253580,723042962,9399558518,131593819259,1973907288891,31582516622266,536902782578529,9664250086413531,183620751641857104,3672415032837142098"
112,"2,5,7,11,13,19,31,37,41,47,59,67,71,73,83,89,97,109,137,149,151,163,167,193,197,223,227,229,239,241,271,281,293,307,317,331,349,353,359,379,383,397,401,409,421,431,449,457,461,463,479,487,499,509,541,557"
113,"1,3,12,24,42,46,42,24,12,3,1"
118,"1,2,4,3,7,11,5,16,22,29,8,6,37,46,12,56,67,79,9,17,92,106,23,121,137,13,30,10,154,172,191,211,38,232,18,254,47,277,14,301,326,24,57,352,379,68,407,436,31,80,466,19,15,497,529,562,93,596,631,39,107,667,704"
119,"2,3,6,7,8,10,11,12,13,14,15,17,18,19"
123,"1,0,0,0,81344,2097152,32251904,327155712,2423150528,14172553216,68846387200,287611813888,1060783557888,3524089872384,10710429155328,30148531322880,79380073957312,197075593592832,464485710757888"
126,"1,2,6,20,70,252,924,1144,12870,48620,184756,705432,2704156,10400600,40116600,155117520,200360130,466721244,9075135300,11781754600,137846528820,538257874440,140273264248,8233430727600,32247603683100"
130,"1,2,1,4,1,6,1,8,1,2,1,12,1,2,3,16,1,6,1,4,3,2,1,24,1,2,1,4,1,30,1,32,3,2,1,36,1,2,3,8,1,6,1,4,3,2,1,48,1,2,3,4,1,6,1,8,3,2,1,60,1,2,3,64,1,6,1,4,3,10,1,72,1,2,3,4,1,6,1,16,1,2,1,12,1,2,3,8,1,30,1,4,3,2,1,96,1,2"
132,"11,728,195,312,519,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
133,"1,7,13,35,53,115,145,307,10163"
134,"2,15,178,2614,40148,622645,9676364,150442627,2339207390,36372631268,565564863676,8794081340271,136740955582530,2126212947243743,33060918081784912,514070948321926226,7993393871925768124"
135,"1,2,10,2,16,12,220,60,112,222,112,30,618,348,156,248,10,290,256,2346,118,570,738,348,1356,4352,1402,470,736,300,10428,4962,4882,1382,580,948,5112,776,358"
136,"0,15,54,117,204,315,450,609,792,999,1230,1485,1764,2067,2394,2745,3120,3519,3942,4389,4860,5355,5874,6417,6984,7575,8190,8829,9492,10179,10890,11625,12384,13167,13974,14805,15660,16539,17442,18369"
137,"13,2,3,5,19,59,47,11,43,139,277,61,107,23,79,29,457,167,461,109,197,41,311,727,151,257,53,163,2203,317,1637,479,347,223,1283,863,733,83,1297,89,271,859,1061,1871,2089,5591,557,113,1259,349,1553,3253,1129,2441"
139,"1,6,217,1308,47305,285138,10312273,62158776,2248028209,13550328030,490059837289,2953909351764,106830796500793,643938688356522,23288623577335585,140375680152370032,5076813109062656737"
141,"31,73,139,149,163,167,173,193,197,331,347,359,367,397,719,769,911,947,967,977,1033,1039,1069,1087,1091,1109,1171,1279,1427,1433,1447,1487,1499,1543,1567,1571,1601,1607,1627,1709,1759,1777,1801,1861,1871,1879"
147,"41,89,137,233,281,521,569,617,761,809,857,953,1049,1097,1193,1289,1433,1481,1721,1913,2153,2297,2393,2441,2633,2729,2777,2969,3209,3257,3449,3593,3833,3881,3929,4073,4217,4409,4457,4649,4793,4889,4937,5081,5273"
149,"0,35,1951,69023,46969504,10056342898"
150,"1,1,3,1,5,8,1,7,20,22,1,9,36,72,60,1,11,56,158,244,164,1,13,80,288,632,796,448,1,15,108,470,1320,2376,2528,1224,1,17,140,712,2420,5592,8544,7872,3344,1,19,176,1022,4060,11372,22368,29712,24144,9136"
152,"1,0,1,0,2,1,0,6,4,1,0,18,16,6,1,0,54,60,30,8,1,0,162,216,134,48,10,1,0,486,756,558,248,70,12,1,0,1458,2592,2214,1168,410,96,14,1,0,4374,8748,8478,5160,2150,628,126,16"
155,"2,6,120,5040,39916800,6227020800,355687428096000,121645100408832000,25852016738884976640000,8841761993739701954543616000000,8222838654177922817725562880000000,13763753091226345046315979581580902400000000,33452526613163807108170062053440751665152000000000"
158,"2,841,494,441,899,820,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
159,"1,3,5,7,15,20,21,25,28,33,35,36,45,49,60,63,68,75,84,100,105,140,147,175,180,196,204,207,225,245,252,287,300,315,375,420,441,500,525,540,588,675,700,724,735,756,805,875,879,900,945,980,1125,1225,1260,1323"
160,"1,1,1,2,2,1,6,8,4,1,28,48,32,8,1,216,448,384,128,16,1,2864,6912,7168,3072,512,32,1,66656,183296,221184,114688,24576,2048,64,1,2760896,8531968,11730944,7077888,1835008,196608,8192,128,1,205824384,706789376"
162,"1,2,8,32,162,976,6832,54663,491971,4919711,54116823,649401885,8442224517,118191143240,1772867148604,28365874377664,482219864420304,8679957559565488,164919193631744286,3298383872634885721"
163,"0,1,0,-1,-1,-2,-1,-2,0,-2,0,1,2,0,3,3,4,4,6,5,7,6,7,10,7,4,7,10,7,8,5,7,6,6,1,5,0,-1,-2,-1,-8,-6,-11,-7,-15,-12,-20,-15,-24,-27,-33,-25,-36,-28,-41,-39,-48,-42,-51,-46,-61,-61,-69,-58,-72,-64,-77,-70,-85,-76,-90,-85,-94,-86,-99,-84,-100"
164,"2,5,10,11,15,18,19,21,25,26,28,35,37,38,40,44,46,47,49,51,53,54,57,58,61,63,64,68,71,72,73,75,77,80,81,86,93,102,105,106,107,112,114,116,119,120,126,127,128,130,138,141,142,145,148,149,151,154,159,162,164,165"
165,"1,0,0,0,800,8295,114625,920175,4627875,17257800,45069885,84369875,116066125,116066125,84369875,45069885,17257800,4627875,920175,114625,8295,800,0,0,0,1"
166,"1,2,2,3,4,5,5,7,11,15,7,12,21,36,52,11,19,38,74,135,203,15,30,64,141,296,566,877,22,45,105,250,592,1315,2610,4140,30,67,165,426,1098,2752,6393,13082,21147,42,97,254,696,1940,5317,13960,33645,70631,115975"
167,"4,217,447,110,432,040,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
168,"1,1,1,1,4,4,1,1,9,23,23,9,1,1,16,76,156,156,76,16,1,1,25,190,650,1167,1167,650,190,25,1,1,36,400,2045,5685,9318,9318,5685,2045,400,36,1,1,49,749,5341,21133,50813,77947,77947,50813,21133,5341,749,49,1,1,64,1288"
171,"4,5,5,7,5,10,5,9,7,10,5,14,5,10,10,11,5,14,5,14,10,10,5,18,7,10,9,14,5,20,5,13,10,10,10,20,5,10,10,18,5,20,5,14,14,10,5,22,7,14,10,14,5,18,10,18,10,10,5,28,5,10,14,15,10,20,5,14,10,20,5,26,5,10,14,14,10,20,5"
174,"1,-5,129,-8133,941601,-173748453,46802237793,-17335271239653,8453548403430081,-5250998394750249285,4048144275997010258625,-3792939800731791655328133,4245216299498829593948709345"
176,"0,0,1,7,6,9,9,1,1,5,0,4,4,2,4,7,7,8,7,6,1,0,6,1,9,4,6,9,0,2,6,5,4,8,6,7,2,5,6,6,3,7,1,6,8,1,4,1,5,9,2,9,2,0,3,5,3,9,8,2,3,0,0,8,8,4,9,5,5,7,5,2,2,1,2,3,8,9,3,8,0,5,3,0,9,7,3,4,5,1,3,2,7,4,3,3,6,2,8"
177,"1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,1,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,1,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,1,0,0,6,0,0"
178,"11,19,29,40,54,69,70,87,88,107,108,128,129,152,153,177,178,179,205,206,207,235,236,237,266,267,268,300,301,302,335,336,337,338,373,374,375,376,413,414,415,416,454,455,456,457,498,499,500,501,543,544,545"
179,"2,8,58,802"
181,"0,12,60,144,264,420,612,840,1104,1404,1740,2112,2520,2964,3444,3960,4512,5100,5724,6384,7080,7812,8580,9384,10224,11100,12012,12960,13944,14964,16020,17112,18240,19404,20604,21840,23112,24420"
185,###############################################################################################################################################################################################################################################################
186,"2,6,7,8,10,11,17,18,21,23,24,26,28,29,30,31,32,33,35,37,38,40,43,44,50,51,53,54,55,59"
188,"0,1,2,3,4,6,8,12,18,27,41,64,100,159,254,407,654,1054,1700,2746,4438,7175,11603,18768,30360,49117,79466,128571,208024,336582,544592,881160,1425738,2306883,3732605,6039472,9772060"
190,"1,1,2,7,1304,1311,2615,139906,142521,424948,1417365,1842313,3259678,50737483,53997161,320723288,374720449,2569045982,100567513747,3603437154114739,3603537721628486,54052965256913543,273868364006196201"
192,"2,6,12,20,38,53,106,200,369,657,1227,2191,4268,8076,15291,28932,55125,105983,202482,391506"
198,"3,5,7,17,11,13,43,257,19,41,23,241,2731,29,151,65537,43691,37,174763,61681,337,397,47,97,251,53,87211,15790321"
202,"1,1,1,1,1,1,2,2,3,3,4,4,6,6,9,9,13,13,19,19,28,28,41,41,60,60,88,88,129,129,189,189,277,277,406,406,595,595,872,872,1278,1278,1873,1873,2745,2745,4023,4023,5896,5896,8641"
203,"-1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
